Years,Time,Air density,wind speed,Power generation
02-03-2019 17:00,42,1.257,9.618,3426.844
02-03-2019 18:00,43,1.261,8.821,2935.535
02-03-2019 19:00,44,1.264,7.714,2183.002
02-03-2019 20:00,45,1.268,6.92,1657.443
02-03-2019 21:00,46,1.272,6.405,1333.342
02-03-2019 22:00,47,1.274,6.381,1319.496
02-03-2019 23:00,48,1.273,6.575,1438.796
03-03-2019 00:00,49,1.265,6.72,1525.37
03-03-2019 01:00,50,1.254,6.844,1605.786
03-03-2019 02:00,51,1.242,7.048,1734.367
03-03-2019 03:00,52,1.235,6.954,1676.45
03-03-2019 04:00,53,1.231,6.966,1683.756
03-03-2019 05:00,54,1.229,6.854,1613.033
03-03-2019 06:00,55,1.228,6.289,1266.209
03-03-2019 07:00,56,1.229,4.116,328.501
03-03-2019 08:00,57,1.232,2.22,15.729
03-03-2019 09:00,58,1.235,3.178,113.604
03-03-2019 10:00,59,1.238,3.557,185.929
03-03-2019 11:00,60,1.241,3.778,237.007
03-03-2019 12:00,61,1.243,3.976,288.957
03-03-2019 13:00,62,1.245,3.935,277.046
03-03-2019 14:00,63,1.246,3.682,214.11
03-03-2019 15:00,64,1.248,3.552,184.843
03-03-2019 16:00,65,1.251,3.624,202.741
03-03-2019 17:00,66,1.254,3.869,261.673
03-03-2019 18:00,67,1.256,4.194,349.905
03-03-2019 19:00,68,1.259,4.508,449.776
03-03-2019 20:00,69,1.262,4.855,575.232
03-03-2019 21:00,70,1.264,5.166,701.478
03-03-2019 22:00,71,1.265,5.472,838.339
03-03-2019 23:00,72,1.265,5.717,958.568
04-03-2019 00:00,73,1.259,5.925,1064.55
04-03-2019 01:00,74,1.246,6.033,1126.067
04-03-2019 02:00,75,1.238,6.066,1140.568
04-03-2019 03:00,76,1.233,6.099,1162.842
04-03-2019 04:00,77,1.23,6.047,1133.52
04-03-2019 05:00,78,1.228,5.949,1081.714
04-03-2019 06:00,79,1.228,5.854,1027.316
04-03-2019 07:00,80,1.229,5.182,708.237
04-03-2019 08:00,81,1.231,3.493,174.266
04-03-2019 09:00,82,1.235,3.483,172.17
04-03-2019 10:00,83,1.238,2.788,60.424
04-03-2019 11:00,84,1.241,2.016,8.306
04-03-2019 12:00,85,1.243,1.548,1.246
04-03-2019 13:00,86,1.246,1.445,0.704
04-03-2019 14:00,87,1.248,1.43,0.651
04-03-2019 15:00,88,1.252,1.552,1.274
04-03-2019 16:00,89,1.255,1.666,2.137
04-03-2019 17:00,90,1.258,1.849,4.534
04-03-2019 18:00,91,1.261,1.951,6.812
04-03-2019 19:00,92,1.264,1.909,5.695
04-03-2019 20:00,93,1.267,1.86,4.743
04-03-2019 21:00,94,1.27,1.961,7.042
04-03-2019 22:00,95,1.273,2.077,10.428
04-03-2019 23:00,96,1.272,2.265,17.868
05-03-2019 00:00,97,1.268,2.531,35.559
05-03-2019 01:00,98,1.261,2.633,43.673
05-03-2019 02:00,99,1.255,2.563,38.223
05-03-2019 03:00,100,1.251,2.463,30.396
05-03-2019 04:00,101,1.249,2.4,25.518
05-03-2019 05:00,102,1.247,2.415,26.494
05-03-2019 06:00,103,1.248,2.774,58.319
05-03-2019 07:00,104,1.249,3.093,100.123
05-03-2019 08:00,105,1.252,2.411,26.219
05-03-2019 09:00,106,1.257,1.472,0.815
05-03-2019 10:00,107,1.261,1.137,0.102
05-03-2019 11:00,108,1.265,1.22,0.176
05-03-2019 12:00,109,1.268,1.161,0.121
05-03-2019 13:00,110,1.272,0.95,0.02
05-03-2019 14:00,111,1.275,1.09,0.065
05-03-2019 15:00,112,1.279,2.725,53.531
05-03-2019 16:00,113,1.283,4.674,507.792
05-03-2019 17:00,114,1.287,6.078,1151.524
05-03-2019 18:00,115,1.291,6.595,1450.462
05-03-2019 19:00,116,1.294,6.614,1461.737
05-03-2019 20:00,117,1.298,6.715,1524.741
05-03-2019 21:00,118,1.3,7.153,1808.018
05-03-2019 22:00,119,1.301,7.533,2063.65
05-03-2019 23:00,120,1.298,7.479,2022.367
06-03-2019 00:00,121,1.289,7.372,1955.072
06-03-2019 01:00,122,1.278,7.101,1774.996
06-03-2019 02:00,123,1.27,6.495,1389.975
06-03-2019 03:00,124,1.264,5.954,1084.713
06-03-2019 04:00,125,1.259,5.82,1009.713
06-03-2019 05:00,126,1.256,5.645,921.482
06-03-2019 06:00,127,1.254,5.777,990.485
06-03-2019 07:00,128,1.255,5.649,923.244
06-03-2019 08:00,129,1.257,5.604,901.106
06-03-2019 09:00,130,1.26,5.762,980.132
06-03-2019 10:00,131,1.262,5.73,963.672
06-03-2019 11:00,132,1.265,5.921,1062.274
06-03-2019 12:00,133,1.267,6.397,1328.731
06-03-2019 13:00,134,1.269,6.935,1663.804
06-03-2019 14:00,135,1.271,7.338,1928.262
06-03-2019 15:00,136,1.274,7.456,2006.965
06-03-2019 16:00,137,1.277,6.896,1638.683
06-03-2019 17:00,138,1.28,7.629,2125.266
06-03-2019 18:00,139,1.283,8.177,2503.605
06-03-2019 19:00,140,1.285,8.131,2469.692
06-03-2019 20:00,141,1.288,7.76,2221.203
06-03-2019 21:00,142,1.291,7.322,1918.155
06-03-2019 22:00,143,1.292,6.921,1657.804
06-03-2019 23:00,144,1.289,6.541,1414.616
07-03-2019 00:00,145,1.279,5.861,1030.662
07-03-2019 01:00,146,1.266,5.106,676.033
07-03-2019 02:00,147,1.255,4.425,422.23
07-03-2019 03:00,148,1.248,3.72,225.131
07-03-2019 04:00,149,1.243,3.271,129.699
07-03-2019 05:00,150,1.24,2.731,54.085
07-03-2019 06:00,151,1.238,2.12,11.672
07-03-2019 07:00,152,1.238,1.156,0.116
07-03-2019 08:00,153,1.24,1.289,0.291
07-03-2019 09:00,154,1.242,3.6,195.476
07-03-2019 10:00,155,1.244,4.492,444.466
07-03-2019 11:00,156,1.246,4.943,609.578
07-03-2019 12:00,157,1.248,5.309,767.745
07-03-2019 13:00,158,1.25,5.41,809.34
07-03-2019 14:00,159,1.252,5.26,741.752
07-03-2019 15:00,160,1.255,4.704,518.787
07-03-2019 16:00,161,1.258,4.672,507.232
07-03-2019 17:00,162,1.26,4.899,592.147
07-03-2019 18:00,163,1.262,5.212,720.974
07-03-2019 19:00,164,1.263,5.496,849.726
07-03-2019 20:00,165,1.265,5.64,919.006
07-03-2019 21:00,166,1.267,5.667,932.268
07-03-2019 22:00,167,1.268,5.527,867.65
07-03-2019 23:00,168,1.265,4.937,607.148
08-03-2019 00:00,169,1.256,4.115,327.93
08-03-2019 01:00,170,1.243,3.567,188.268
08-03-2019 02:00,171,1.234,3.515,177.075
08-03-2019 03:00,172,1.227,3.996,293.358
08-03-2019 04:00,173,1.222,4.909,595.971
08-03-2019 05:00,174,1.218,5.795,1001.471
08-03-2019 06:00,175,1.217,6.334,1295.281
08-03-2019 07:00,176,1.217,4.904,594.058
08-03-2019 08:00,177,1.22,3.897,269.396
08-03-2019 09:00,178,1.224,5.528,867.82
08-03-2019 10:00,179,1.227,6.655,1484.764
08-03-2019 11:00,180,1.231,7.231,1856.259
08-03-2019 12:00,181,1.235,7.771,2222.667
08-03-2019 13:00,182,1.238,8.056,2421.08
08-03-2019 14:00,183,1.241,7.532,2063.64
08-03-2019 15:00,184,1.244,7.969,2358.183
08-03-2019 16:00,185,1.248,9.628,3432.803
08-03-2019 17:00,186,1.252,11.076,4125.69
08-03-2019 18:00,187,1.255,11.084,4128.673
08-03-2019 19:00,188,1.259,10.92,4062.275
08-03-2019 20:00,189,1.263,10.521,3891.826
08-03-2019 21:00,190,1.266,10.006,3640.002
08-03-2019 22:00,191,1.269,9.479,3345.945
08-03-2019 23:00,192,1.269,8.761,2901.821
09-03-2019 00:00,193,1.265,7.85,2282.77
09-03-2019 01:00,194,1.261,6.902,1640.156
09-03-2019 02:00,195,1.257,5.863,1031.909
09-03-2019 03:00,196,1.254,5.616,907.117
09-03-2019 04:00,197,1.252,6.649,1480.964
09-03-2019 05:00,198,1.25,7.85,2283.19
09-03-2019 06:00,199,1.25,8.97,3031.881
09-03-2019 07:00,200,1.251,9.816,3538.22
09-03-2019 08:00,201,1.254,9.757,3505.215
09-03-2019 09:00,202,1.257,9.645,3444.933
09-03-2019 10:00,203,1.26,9.365,3278.184
09-03-2019 11:00,204,1.262,9.122,3128.698
09-03-2019 12:00,205,1.264,9.235,3201.545
09-03-2019 13:00,206,1.265,9.44,3329.125
09-03-2019 14:00,207,1.266,9.551,3388.349
09-03-2019 15:00,208,1.269,9.379,3286.291
09-03-2019 16:00,209,1.272,8.596,2786.262
09-03-2019 17:00,210,1.275,8.083,2441.703
09-03-2019 18:00,211,1.277,7.658,2150.968
09-03-2019 19:00,212,1.28,7.257,1876.623
09-03-2019 20:00,213,1.282,6.651,1482.297
09-03-2019 21:00,214,1.283,5.776,989.762
09-03-2019 22:00,215,1.284,4.832,566.488
09-03-2019 23:00,216,1.279,4.186,347.409
10-03-2019 00:00,217,1.268,3.66,209.036
10-03-2019 01:00,218,1.256,3.122,105.687
10-03-2019 02:00,219,1.247,2.66,46.147
10-03-2019 03:00,220,1.24,2.4,25.552
10-03-2019 04:00,221,1.234,2.495,32.129
10-03-2019 05:00,222,1.23,2.966,82.868
10-03-2019 06:00,223,1.228,3.654,207.678
10-03-2019 07:00,224,1.227,3.107,102.179
10-03-2019 08:00,225,1.228,4.084,317.876
10-03-2019 09:00,226,1.231,4.499,446.812
10-03-2019 10:00,227,1.233,4.689,513.248
10-03-2019 11:00,228,1.236,4.684,511.557
10-03-2019 12:00,229,1.238,4.438,426.395
10-03-2019 13:00,230,1.24,4.07,314.043
10-03-2019 14:00,231,1.241,3.65,206.69
10-03-2019 15:00,232,1.243,3.226,123.23
10-03-2019 16:00,233,1.245,3.113,103.736
10-03-2019 17:00,234,1.246,3.112,103.426
10-03-2019 18:00,235,1.247,3.198,118.262
10-03-2019 19:00,236,1.249,3.371,149.618
10-03-2019 20:00,237,1.25,3.512,176.484
10-03-2019 21:00,238,1.25,3.496,175
10-03-2019 22:00,239,1.251,3.208,120.085
10-03-2019 23:00,240,1.248,2.873,69.551
11-03-2019 00:00,241,1.243,2.646,44.838
11-03-2019 01:00,242,1.237,2.592,39.975
11-03-2019 02:00,243,1.232,2.9,72.902
11-03-2019 03:00,244,1.229,3.626,203.266
11-03-2019 04:00,245,1.227,4.461,434.181
11-03-2019 05:00,246,1.226,5.179,706.949
11-03-2019 06:00,247,1.226,5.671,934.111
11-03-2019 07:00,248,1.228,5.161,699.169
11-03-2019 08:00,249,1.23,4.04,305.508
11-03-2019 09:00,250,1.233,4.62,491.748
11-03-2019 10:00,251,1.235,5.078,665.025
11-03-2019 11:00,252,1.238,5.108,676.571
11-03-2019 12:00,253,1.239,5.102,674.161
11-03-2019 13:00,254,1.241,4.896,591
11-03-2019 14:00,255,1.243,4.408,419.582
11-03-2019 15:00,256,1.245,3.607,197.028
11-03-2019 16:00,257,1.248,3.794,240.951
11-03-2019 17:00,258,1.251,4.348,397.394
11-03-2019 18:00,259,1.253,4.147,338.746
11-03-2019 19:00,260,1.255,3.407,155.043
11-03-2019 20:00,261,1.257,2.36,23.054
11-03-2019 21:00,262,1.259,1.755,3.114
11-03-2019 22:00,263,1.261,3.043,92.548
11-03-2019 23:00,264,1.259,4.468,436.264
12-03-2019 00:00,265,1.256,5.053,657.598
12-03-2019 01:00,266,1.253,5.166,701.137
12-03-2019 02:00,267,1.25,5.426,816.991
12-03-2019 03:00,268,1.249,5.524,864.411
12-03-2019 04:00,269,1.247,5.598,898.527
12-03-2019 05:00,270,1.247,5.965,1090.779
12-03-2019 06:00,271,1.248,5.902,1052.132
12-03-2019 07:00,272,1.25,6.745,1546.639
12-03-2019 08:00,273,1.252,8.191,2511.473
12-03-2019 09:00,274,1.255,9.472,3341.647
12-03-2019 10:00,275,1.257,10.215,3749.298
12-03-2019 11:00,276,1.259,10.237,3757.747
12-03-2019 12:00,277,1.261,10.014,3644.173
12-03-2019 13:00,278,1.262,9.739,3500.618
12-03-2019 14:00,279,1.264,9.419,3315.657
12-03-2019 15:00,280,1.266,8.984,3043.815
12-03-2019 16:00,281,1.268,8.245,2551.599
12-03-2019 17:00,282,1.27,7.719,2186.026
12-03-2019 18:00,283,1.272,7.52,2050.169
12-03-2019 19:00,284,1.274,7.134,1793.773
12-03-2019 20:00,285,1.276,6.713,1524.697
12-03-2019 21:00,286,1.278,6.028,1124.164
12-03-2019 22:00,287,1.279,5.103,674.737
12-03-2019 23:00,288,1.276,4.711,521.204
13-03-2019 00:00,289,1.27,4.25,366.853
13-03-2019 01:00,290,1.265,4.029,304.844
13-03-2019 02:00,291,1.259,3.968,288.187
13-03-2019 03:00,292,1.256,3.994,292.768
13-03-2019 04:00,293,1.253,3.979,289.019
13-03-2019 05:00,294,1.251,3.848,254.322
13-03-2019 06:00,295,1.25,2.982,84.792
13-03-2019 07:00,296,1.25,2.292,19.638
13-03-2019 08:00,297,1.252,2.334,22.016
13-03-2019 09:00,298,1.254,2.898,72.695
13-03-2019 10:00,299,1.257,3.47,169.633
13-03-2019 11:00,300,1.259,4.083,317.497
13-03-2019 12:00,301,1.261,4.975,622.408
13-03-2019 13:00,302,1.263,5.91,1056.418
13-03-2019 14:00,303,1.265,6.739,1542.921
13-03-2019 15:00,304,1.267,7.231,1856.642
13-03-2019 16:00,305,1.269,6.991,1703.057
13-03-2019 17:00,306,1.271,7.112,1777.793
13-03-2019 18:00,307,1.273,7.028,1721.837
13-03-2019 19:00,308,1.275,6.62,1468.483
13-03-2019 20:00,309,1.277,6.239,1242.501
13-03-2019 21:00,310,1.279,6.139,1181.085
13-03-2019 22:00,311,1.28,6.004,1108.358
13-03-2019 23:00,312,1.276,5.8,1003.851
14-03-2019 00:00,313,1.267,5.627,912.496
14-03-2019 01:00,314,1.26,5.102,674.138
14-03-2019 02:00,315,1.256,4.458,433.002
14-03-2019 03:00,316,1.253,3.779,237.123
14-03-2019 04:00,317,1.251,3.035,91.43
14-03-2019 05:00,318,1.25,2.364,23.321
14-03-2019 06:00,319,1.25,1.688,2.33
14-03-2019 07:00,320,1.251,1.27,0.245
14-03-2019 08:00,321,1.253,2.175,13.768
14-03-2019 09:00,322,1.255,2.502,32.676
14-03-2019 10:00,323,1.257,2.676,47.756
14-03-2019 11:00,324,1.259,2.849,66.54
14-03-2019 12:00,325,1.261,3.057,94.671
14-03-2019 13:00,326,1.263,3.077,97.696
14-03-2019 14:00,327,1.264,2.804,61.891
14-03-2019 15:00,328,1.266,2.274,18.482
14-03-2019 16:00,329,1.268,2.057,9.765
14-03-2019 17:00,330,1.27,2.813,62.339
14-03-2019 18:00,331,1.272,3.5,175.766
14-03-2019 19:00,332,1.275,3.821,247.583
14-03-2019 20:00,333,1.277,3.834,250.806
14-03-2019 21:00,334,1.28,3.618,201.13
14-03-2019 22:00,335,1.282,3.261,127.76
14-03-2019 23:00,336,1.278,2.887,71.29
15-03-2019 00:00,337,1.268,2.545,36.675
15-03-2019 01:00,338,1.261,2.278,18.875
15-03-2019 02:00,339,1.257,2.168,13.486
15-03-2019 03:00,340,1.254,2.306,20.423
15-03-2019 04:00,341,1.252,2.588,39.774
15-03-2019 05:00,342,1.251,2.935,77.52
15-03-2019 06:00,343,1.25,3.202,119.126
15-03-2019 07:00,344,1.249,2.614,41.93
15-03-2019 08:00,345,1.25,3.195,117.064
15-03-2019 09:00,346,1.252,3.567,188.089
15-03-2019 10:00,347,1.253,4.02,299.959
15-03-2019 11:00,348,1.254,4.662,506.15
15-03-2019 12:00,349,1.256,5.341,777.904
15-03-2019 13:00,350,1.257,5.806,1004.293
15-03-2019 14:00,351,1.259,6.074,1147.17
15-03-2019 15:00,352,1.262,6.049,1135.841
15-03-2019 16:00,353,1.265,5.459,836.551
15-03-2019 17:00,354,1.268,5.234,730.504
15-03-2019 18:00,355,1.27,4.592,478.626
15-03-2019 19:00,356,1.273,3.766,233.942
15-03-2019 20:00,357,1.275,3.107,102.294
15-03-2019 21:00,358,1.278,2.691,49.287
15-03-2019 22:00,359,1.279,2.443,28.55
15-03-2019 23:00,360,1.275,2.315,20.933
16-03-2019 00:00,361,1.264,2.153,12.901
16-03-2019 01:00,362,1.254,1.941,6.425
16-03-2019 02:00,363,1.249,1.635,1.899
16-03-2019 03:00,364,1.245,1.265,0.237
16-03-2019 04:00,365,1.242,0.98,0.025
16-03-2019 05:00,366,1.24,0.845,0.005
16-03-2019 06:00,367,1.239,1.007,0.03
16-03-2019 07:00,368,1.239,1.029,0.039
16-03-2019 08:00,369,1.241,1.865,4.893
16-03-2019 09:00,370,1.243,1.983,7.425
16-03-2019 10:00,371,1.244,2.214,15.673
16-03-2019 11:00,372,1.246,2.633,43.616
16-03-2019 12:00,373,1.247,3.055,94.363
16-03-2019 13:00,374,1.249,3.414,156.527
16-03-2019 14:00,375,1.25,3.77,235.017
16-03-2019 15:00,376,1.252,4.072,314.37
16-03-2019 16:00,377,1.255,3.979,289.03
16-03-2019 17:00,378,1.258,3.416,156.834
16-03-2019 18:00,379,1.26,2.484,31.665
16-03-2019 19:00,380,1.263,1.883,5.277
16-03-2019 20:00,381,1.265,2.085,10.696
16-03-2019 21:00,382,1.267,3.147,108.651
16-03-2019 22:00,383,1.267,4.384,411.819
16-03-2019 23:00,384,1.262,5.536,873.132
17-03-2019 00:00,385,1.248,6.561,1426.76
17-03-2019 01:00,386,1.236,7.296,1898.749
17-03-2019 02:00,387,1.228,7.633,2129.583
17-03-2019 03:00,388,1.223,7.521,2050.858
17-03-2019 04:00,389,1.218,7.185,1827.709
17-03-2019 05:00,390,1.214,6.964,1683.706
17-03-2019 06:00,391,1.212,6.301,1273.136
17-03-2019 07:00,392,1.211,4.612,486.567
17-03-2019 08:00,393,1.213,6.383,1320.904
17-03-2019 09:00,394,1.217,9.149,3151.453
17-03-2019 10:00,395,1.221,10.452,3860.426
17-03-2019 11:00,396,1.224,11.349,4225.049
17-03-2019 12:00,397,1.226,12.227,4479.425
17-03-2019 13:00,398,1.228,12.882,4623.053
17-03-2019 14:00,399,1.229,12.825,4613.035
17-03-2019 15:00,400,1.231,11.842,4376.704
17-03-2019 16:00,401,1.233,11.316,4210.432
17-03-2019 17:00,402,1.235,11.819,4370.181
17-03-2019 18:00,403,1.237,11.435,4250.775
17-03-2019 19:00,404,1.239,10.989,4093.653
17-03-2019 20:00,405,1.241,9.972,3622.297
17-03-2019 21:00,406,1.242,9.476,3344.261
17-03-2019 22:00,407,1.241,8.94,3012.442
17-03-2019 23:00,408,1.234,8.925,3006.127
18-03-2019 00:00,409,1.224,8.941,3013.337
18-03-2019 01:00,410,1.213,8.836,2947.678
18-03-2019 02:00,411,1.205,8.832,2947.711
18-03-2019 03:00,412,1.199,8.448,2687.873
18-03-2019 04:00,413,1.196,7.942,2339.494
18-03-2019 05:00,414,1.194,7.828,2266.295
18-03-2019 06:00,415,1.195,7.237,1863.46
18-03-2019 07:00,416,1.197,8.183,2505.777
18-03-2019 08:00,417,1.202,7.262,1881.174
18-03-2019 09:00,418,1.209,6.672,1499.774
18-03-2019 10:00,419,1.215,6.69,1512.144
18-03-2019 11:00,420,1.222,7.072,1751.396
18-03-2019 12:00,421,1.228,7.797,2239.727
18-03-2019 13:00,422,1.232,8.163,2494.542
18-03-2019 14:00,423,1.236,8.06,2421.117
18-03-2019 15:00,424,1.24,7.643,2140.706
18-03-2019 16:00,425,1.245,8.527,2744.416
18-03-2019 17:00,426,1.248,9.579,3409.448
18-03-2019 18:00,427,1.251,10.214,3749.335
18-03-2019 19:00,428,1.254,9.964,3621.292
18-03-2019 20:00,429,1.255,9.146,3147.886
18-03-2019 21:00,430,1.256,8.419,2672.978
18-03-2019 22:00,431,1.255,8.007,2389.771
18-03-2019 23:00,432,1.249,7.944,2341.536
19-03-2019 00:00,433,1.241,8.241,2551.576
19-03-2019 01:00,434,1.232,8.686,2850.173
19-03-2019 02:00,435,1.225,8.629,2808.396
19-03-2019 03:00,436,1.218,8.132,2470.659
19-03-2019 04:00,437,1.212,8.004,2384.924
19-03-2019 05:00,438,1.208,8.162,2493.265
19-03-2019 06:00,439,1.205,7.663,2154.758
19-03-2019 07:00,440,1.205,8.939,3011.926
19-03-2019 08:00,441,1.208,9.613,3423.862
19-03-2019 09:00,442,1.213,9.427,3317.084
19-03-2019 10:00,443,1.219,9.615,3425.171
19-03-2019 11:00,444,1.223,10.138,3707.852
19-03-2019 12:00,445,1.228,10.517,3890.353
19-03-2019 13:00,446,1.232,10.588,3923.095
19-03-2019 14:00,447,1.235,9.97,3621.291
19-03-2019 15:00,448,1.239,10.058,3667.032
19-03-2019 16:00,449,1.243,11.133,4144.522
19-03-2019 17:00,450,1.248,11.631,4313.996
19-03-2019 18:00,451,1.252,11.304,4206.293
19-03-2019 19:00,452,1.256,10.819,4021.228
19-03-2019 20:00,453,1.26,9.744,3501.756
19-03-2019 21:00,454,1.264,8.782,2914.96
19-03-2019 22:00,455,1.267,8.358,2626.745
19-03-2019 23:00,456,1.266,7.874,2297.027
20-03-2019 00:00,457,1.263,7.313,1910.186
20-03-2019 01:00,458,1.259,7.023,1718.593
20-03-2019 02:00,459,1.255,6.594,1449.519
20-03-2019 03:00,460,1.251,6.223,1229.617
20-03-2019 04:00,461,1.249,6.358,1307.072
20-03-2019 05:00,462,1.247,6.418,1345.801
20-03-2019 06:00,463,1.247,6.96,1683.598
20-03-2019 07:00,464,1.249,6.703,1516.408
20-03-2019 08:00,465,1.251,6.001,1105.758
20-03-2019 09:00,466,1.255,5.375,793.524
20-03-2019 10:00,467,1.258,5.404,806.888
20-03-2019 11:00,468,1.26,6.123,1172.144
20-03-2019 12:00,469,1.262,6.163,1196.124
20-03-2019 13:00,470,1.264,5.255,739.783
20-03-2019 14:00,471,1.266,5.097,672.187
20-03-2019 15:00,472,1.268,5.093,670.394
20-03-2019 16:00,473,1.27,5.121,682.124
20-03-2019 17:00,474,1.271,6.148,1185.764
20-03-2019 18:00,475,1.272,6.581,1444.37
20-03-2019 19:00,476,1.273,6.458,1369.28
20-03-2019 20:00,477,1.274,6.364,1311.371
20-03-2019 21:00,478,1.276,6.366,1314.059
20-03-2019 22:00,479,1.276,6.552,1421.539
20-03-2019 23:00,480,1.275,7.073,1752.666
21-03-2019 00:00,481,1.273,7.365,1948.174
21-03-2019 01:00,482,1.27,7.75,2207.831
21-03-2019 02:00,483,1.267,7.596,2105.759
21-03-2019 03:00,484,1.265,7.67,2159.372
21-03-2019 04:00,485,1.263,7.834,2269.467
21-03-2019 05:00,486,1.262,8.074,2433.377
21-03-2019 06:00,487,1.262,8.248,2551.616
21-03-2019 07:00,488,1.263,8.582,2782.215
21-03-2019 08:00,489,1.265,8.875,2970.149
21-03-2019 09:00,490,1.267,9.02,3064.08
21-03-2019 10:00,491,1.269,9.092,3109.762
21-03-2019 11:00,492,1.272,9.32,3251.097
21-03-2019 12:00,493,1.274,9.507,3366.639
21-03-2019 13:00,494,1.276,9.559,3392.943
21-03-2019 14:00,495,1.277,9.488,3356.304
21-03-2019 15:00,496,1.28,9.321,3251.67
21-03-2019 16:00,497,1.282,9.011,3063.956
21-03-2019 17:00,498,1.285,8.563,2766.331
21-03-2019 18:00,499,1.287,8.726,2872.582
21-03-2019 19:00,500,1.289,8.916,3000.966
21-03-2019 20:00,501,1.291,8.917,3002.712
21-03-2019 21:00,502,1.294,8.605,2792.108
21-03-2019 22:00,503,1.293,8.114,2460.488
21-03-2019 23:00,504,1.287,7.627,2125.226
22-03-2019 00:00,505,1.281,7.26,1880.67
22-03-2019 01:00,506,1.276,6.727,1533.388
22-03-2019 02:00,507,1.271,6.406,1333.873
22-03-2019 03:00,508,1.268,6.561,1426.99
22-03-2019 04:00,509,1.266,6.43,1348.826
22-03-2019 05:00,510,1.265,6.102,1164.501
22-03-2019 06:00,511,1.264,6.763,1556.011
22-03-2019 07:00,512,1.265,7.636,2133.318
22-03-2019 08:00,513,1.266,7.444,2002.468
22-03-2019 09:00,514,1.268,7.477,2020.993
22-03-2019 10:00,515,1.271,7.937,2336.499
22-03-2019 11:00,516,1.274,8.326,2610.379
22-03-2019 12:00,517,1.276,8.551,2762.087
22-03-2019 13:00,518,1.278,8.582,2782.216
22-03-2019 14:00,519,1.28,8.318,2603.662
22-03-2019 15:00,520,1.282,7.841,2271.474
22-03-2019 16:00,521,1.284,6.602,1456.617
22-03-2019 17:00,522,1.286,5.386,798.212
22-03-2019 18:00,523,1.288,4.486,442.41
22-03-2019 19:00,524,1.289,3.497,175.155
22-03-2019 20:00,525,1.291,2.901,73.103
22-03-2019 21:00,526,1.293,2.762,56.626
22-03-2019 22:00,527,1.293,2.68,48.148
22-03-2019 23:00,528,1.288,2.726,53.624
23-03-2019 00:00,529,1.282,3.25,125.923
23-03-2019 01:00,530,1.278,4.071,314.272
23-03-2019 02:00,531,1.274,5.004,633.839
23-03-2019 03:00,532,1.27,5.825,1012.115
23-03-2019 04:00,533,1.266,6.546,1417.959
23-03-2019 05:00,534,1.262,6.76,1555.931
23-03-2019 06:00,535,1.259,6.627,1469.072
23-03-2019 07:00,536,1.257,7.973,2361.046
23-03-2019 08:00,537,1.256,8.991,3051.171
23-03-2019 09:00,538,1.257,9.757,3505.23
23-03-2019 10:00,539,1.259,10.267,3772.421
23-03-2019 11:00,540,1.261,10.49,3882.848
23-03-2019 12:00,541,1.263,10.481,3873.887
23-03-2019 13:00,542,1.264,10.263,3770.51
23-03-2019 14:00,543,1.265,9.722,3485.977
23-03-2019 15:00,544,1.266,8.654,2828.966
23-03-2019 16:00,545,1.266,6.462,1371.894
23-03-2019 17:00,546,1.266,4.379,410.145
23-03-2019 18:00,547,1.266,2.812,62.185
